Name,Dialogue,NextRow,Datatable,EndDialogue?,CharacterName,EN,JP,Actionable?,KR,CH,DE,TH,PH,PT,FR,ES,RU
ch7_mikey_24,bukan untuk tinggal,ch7_mikey_21,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',True,Michael,not to stay.,留まるためじゃなく,,머물러서는 안 돼,而不是停留,nicht um zu bleiben,ไม่ต้องอยู่ต่อ,hindi upang manatili.,não ficar.,ne pas rester.,no quedarse,не оставаться.
ch7_father_0,Ayah...,ch7_father_1,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,Dad…,父さん…,,아빠…,爸爸…,Papa…,พ่อ…,tatay…,Pai…,Papa…,Papá…,Папа…
ch7_father_1,Kalau ayah masih di sini...,ch7_father_2,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,If you were still here…,もしまだここにいたら…,,만약 아직 여기 있었다면…,如果你还在这里…,Wenn du noch hier wärst…,หากคุณยังอยู่ที่นี่…,Kung nandito ka pa…,Se você ainda estivesse aqui…,Si tu étais encore là…,Si todavía estuvieras aquí…,Если бы вы все еще были здесь…
ch7_father_2,Apa Ayah akan bangga melihat aku sekarang?,ch7_father_3,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,Would you be proud of me now?,今の俺を誇りに思うか？,,지금 내 모습 보고 자랑스러워했을까?,你会为我感到骄傲吗？,Wärst du jetzt stolz auf mich?,ตอนนี้คุณคงจะภูมิใจในตัวฉันบ้างมั้ย?,Ipagmalaki mo ba ako ngayon?,Você ficaria orgulhoso de mim agora?,Serais-tu fier de moi maintenant ?,¿Estarías orgulloso de mí ahora?,Гордились бы вы мной сейчас?
ch7_father_3,"Aku selalu bangga padamu, Nak",ch7_father_4,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Father,"I’ve always been proud of you, son.",俺はいつもお前を誇りに思っている、息子よ,,"난 항상 널 자랑스러워했어, 아들",我一直为你感到骄傲，儿子,"Ich war immer stolz auf dich, Sohn",ฉันภูมิใจในตัวคุณเสมอนะลูกชาย,"Noon pa man ay ipinagmamalaki kita, anak.","Sempre tive orgulho de você, filho.","J’ai toujours été fier de toi, mon fils.","Siempre he estado orgulloso de ti, hijo.","Я всегда гордился тобой, сынок."
ch7_father_4,Aku sudah tidak bermain basket lagi,ch7_father_5,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,I don’t play basketball anymore.,もうバスケットはやらない,,난 이제 농구를 하지 않아,我不再打篮球,Ich spiele keinen Basketball mehr,ฉันไม่เล่นบาสเก็ตบอลอีกต่อไป,Hindi na ako naglalaro ng basketball.,Eu não jogo mais basquete.,Je ne joue plus au basket.,Ya no juego al baloncesto.,Я больше не играю в баскетбол.
ch7_father_5,Aku tidak menang apa-apa,ch7_father_6,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,I haven’t won anything.,何も勝てなかった,,난 아무것도 이기지 못했어,我没有赢过任何东西,Ich habe nichts gewonnen,ฉันไม่ได้ชนะอะไรเลย,wala akong napanalunan.,Eu não ganhei nada.,Je n’ai rien gagné.,No he ganado nada,Я ничего не выиграл.
ch7_father_6,Andai saja waktu itu Ayah dan Ibu tidak datang ke pertandinganku...,ch7_father_7,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,If only you and Mom hadn’t come to my basketball championship back then…,あの日、父さんと母さんが試合に来なかったら…,,그 날 네 엄마랑 아빠가 내 경기에 안 왔다면…,如果那天你和妈妈没有来看我的比赛…,Wenn du und Mama an diesem Tag nicht zu meinem Spiel gekommen wärt…,ถ้าเพียงแต่คุณกับแม่ไม่มาดูการแข่งขันบาสเกตบอลของฉันในตอนนั้น...,Kung hindi lang kayo ni Nanay ang sumama sa basketball championship ko noon...,Se você e a mamãe não tivessem ido ao meu campeonato de basquete naquela época...,Si seulement toi et maman n’étiez pas venus à mon championnat de basket à l’époque…,Ojalá tú y mamá no hubieran venido a mi campeonato de baloncesto en aquel entonces…,Если бы вы с мамой тогда не приехали на мой чемпионат по баскетболу...
ch7_father_7,Mungkin Ayah dan Ibu masih di sini,ch7_father_8,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,Maybe you both would still be here.,もしかしたら、まだ二人はここにいるかもしれない,,어쩌면 둘 다 아직 여기 있었을 거야,也许你们还都会在这里,Vielleicht wärt ihr beide noch hier,บางทีคุณทั้งสองอาจจะยังอยู่ที่นี่,Baka nandito pa kayong dalawa.,Talvez vocês dois ainda estivessem aqui.,Peut-être que vous seriez encore tous les deux là.,Quizás ambos todavía estarían aquí.,"Может быть, вы оба все еще были бы здесь."
ch7_father_8,"Itu bukan salahmu, Nak",ch7_father_9,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Father,"It’s not your fault, son.",それはお前のせいじゃない、息子よ,,"네 잘못이 아니야, 아들",这不是你的错，儿子,"Es ist nicht deine Schuld, Sohn",มันไม่ใช่ความผิดของคุณนะลูกชาย,"Hindi mo kasalanan, anak.","Não é sua culpa, filho.","Ce n’est pas ta faute, mon fils.","No es tu culpa, hijo.","Это не твоя вина, сынок."
ch7_father_9,Kami datang karena kami ingin datang. Karena kami bangga,ch7_father_10,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Father,We came because we wanted to. Because we were proud.,俺たちは来たかったから来たんだ、誇りに思っているから,,우린 오고 싶어서 왔던 거야. 우리가 자랑스러워했으니까,我们来是因为我们想来，因为我们为你感到骄傲,"Wir kamen, weil wir wollten. Weil wir stolz waren",เรามาเพราะเราอยากมา เพราะเราภูมิใจ,Dumating kami dahil gusto namin. Dahil naging proud kami.,Viemos porque queríamos. Porque tínhamos orgulho.,Nous sommes venus parce que nous le voulions. Parce que nous étions fiers.,Vinimos porque queríamos. Porque estábamos orgullosos.,"Мы пришли, потому что хотели. Потому что мы гордились."
ch7_father_10,"Dan kalau harus memilih lagi, kami akan tetap datang",ch7_father_11,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Father,"And if we had the chance again, we would still come.",もしもう一度選べるなら、また来るだろう,,"그리고 다시 선택해야 한다면, 우린 여전히 올 거야",如果必须再选择一次，我们仍会来,"Und wenn wir noch einmal wählen müssten, würden wir immer noch kommen",และหากเรามีโอกาสอีกครั้งเราก็ยังคงจะมา,"At kung magkakaroon pa kami ng pagkakataon, darating pa rin kami.","E se tivéssemos a oportunidade novamente, ainda iríamos.","Et si nous en avions encore l'occasion, nous viendrai encore.","Y si tuviéramos otra oportunidad, volveríamos.","И если бы у нас была возможность еще раз, мы бы все равно приехали."
ch7_father_11,Kenapa harus Ayah dan Ibu? kenapa bukan aku?,ch7_father_12,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,Why did it have to be you and not me?,なぜ父さんと母さんだった？なぜ俺じゃない？,,왜 꼭 네 엄마랑 아빠였어야 했을까? 왜 나 아니야?,为什么非你和妈妈？为什么不是我？,Warum musstest gerade du und Mama sein? Warum nicht ich?,ทำไมต้องเป็นคุณไม่ใช่ฉัน?,Bakit kailangang ikaw at hindi ako?,Por que teve que ser você e não eu?,Pourquoi fallait-il que ce soit toi et pas moi ?,¿Por qué tuviste que ser tú y no yo?,"Почему это должен был быть ты, а не я?"
ch7_father_12,Karena kamu masih punya cerita untuk ditulis,ch7_father_13,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Father,Because you still have your story to write.,お前にはまだ語るべき物語がある,,왜냐하면 넌 아직 써야 할 이야기가 있으니까,因为你还有故事要写,Weil du noch eine Geschichte zu schreiben hast,เพราะคุณยังมีเรื่องราวของคุณที่ต้องเขียน,Dahil may isusulat ka pang kwento.,Porque você ainda tem sua história para escrever.,Parce que tu as encore ton histoire à écrire.,Porque todavía tienes tu historia que escribir.,Потому что вам еще предстоит написать свою историю.
ch7_father_13,Tapi aku lelah,ch7_father_14,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,But I’m tired.,でも、疲れた,,하지만 난 지쳤어,但我累了,Aber ich bin müde,แต่ฉันเหนื่อยแล้ว.,Pero pagod na ako.,Mas estou cansado.,Mais je suis fatigué.,Pero estoy cansado.,Но я устал.
ch7_father_14,Lelah itu wajar,ch7_father_15,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Father,Being tired is normal.,疲れてもいい,,지쳐도 괜찮아,累也没关系,"Es ist okay, müde zu sein",การรู้สึกเหนื่อยนั้นเป็นเรื่องปกติ,Ang pagiging pagod ay normal.,Estar cansado é normal.,Être fatigué est normal.,Estar cansado es normal.,Усталость — это нормально.
ch7_father_15,Tapi jangan biarkan itu menghapus siapa kamu,ch7_father_16,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Father,But don’t let it take away who you are.,でも、自分を見失うな,,하지만 그것이 너 자신을 지우게 하지 마,但不要让它抹去你的本心,"Aber lass es nicht löschen, wer du bist",แต่อย่าปล่อยให้มันพรากความเป็นคุณไป,Ngunit huwag hayaang alisin nito kung sino ka.,Mas não deixe que isso tire quem você é.,Mais ne laissez pas cela vous enlever qui vous êtes.,Pero no dejes que te quite lo que eres.,"Но не позволяйте этому лишить вас того, кто вы есть."
ch7_father_16,Kamu lebih kuat dari yang kamu kira,ch7_father_17,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Father,You’re stronger than you think.,お前は思っているより強い,,넌 생각보다 강해,你比自己想象的更坚强,"Du bist stärker, als du denkst",คุณเข้มแข็งกว่าที่คุณคิด,Ikaw ay mas malakas kaysa sa iyong iniisip.,Você é mais forte do que pensa.,Tu es plus fort que tu ne le penses.,Eres más fuerte de lo que crees.,"Ты сильнее, чем ты думаешь."
ch7_father_17,Dan dalam semua langkahmu...,ch7_father_18,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Father,And with every step you take…,そしてお前が歩む一歩一歩に,,그리고 네가 내딛는 모든 걸음마다…,在你迈出的每一步…,"Und bei jedem Schritt, den du machst…",และทุกก้าวที่คุณก้าวไป…,At sa bawat hakbang mo...,E a cada passo que você dá…,Et à chaque pas que tu fais…,Y con cada paso que das…,И с каждым шагом…
ch7_father_18,kami tidak pernah benar-benar pergi,ch7_father_16,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',True,Father,we’re never really gone.,俺たちは決して本当に去ったわけじゃない,,우린 결코 떠난 적 없어,我们从未真正离开,Wir sind nie wirklich gegangen,เราไม่เคยหายไปจริงๆ,hindi talaga tayo nawala.,nunca realmente partimos.,nous ne sommes jamais vraiment partis.,Nunca nos hemos ido realmente.,мы никогда по-настоящему не исчезаем.
ch7_mother_0,Ibu...,ch7_mother_1,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,Mom…,母さん…,,엄마…,妈妈…,Mama…,แม่…,nanay…,Mãe…,Maman…,Mamá…,Мама…
ch7_mother_1,Aku... aku rindu ibu...,ch7_mother_2,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,"I… I miss you, Mom…",俺は…母さんが恋しい…,,난… 엄마가 그리워…,我… 想你，妈妈…,"Ich… ich vermisse dich, Mama…",ฉัน… ฉันคิดถึงแม่…,"Namimiss kita, Nanay...","Eu… sinto sua falta, mãe…","Je… Tu me manques, maman…","Yo… te extraño, mamá…","Я... я скучаю по тебе, мама..."
ch7_mother_2,"Setiap hari, setiap malam... rasanya sesak, Bu",ch7_mother_3,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,"Every day, every night… it feels so heavy, Mom.",毎日、毎晩…息が詰まる、母さん…,,"매일, 매일 밤… 숨 막혀, 엄마",每天，每晚… 感觉窒息，妈妈,"Jeden Tag, jede Nacht… es fühlt sich erstickend an, Mama",ทุกวันทุกคืน…มันรู้สึกหนักจังเลยแม่,"Araw-araw, gabi-gabi... napakabigat sa pakiramdam, Nay.","Todo dia, toda noite... parece tão pesado, mãe.","Chaque jour, chaque nuit… c’est si lourd, maman.","Cada día, cada noche… se siente tan pesado, mamá.","Каждый день, каждую ночь... мне так тяжело, мама."
ch7_mother_3,Rumah kosong. Aku kosong.,ch7_mother_4,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,The house is empty. I’m empty.,家は空っぽだ。俺も空っぽだ,,"집은 비었고, 난 비었어",房子空了，我也空了,Das Haus ist leer. Ich bin leer.,บ้านว่างเปล่า ฉันว่างเปล่า,Walang laman ang bahay. wala akong laman.,A casa está vazia. Eu estou vazio.,La maison est vide. Je suis vide.,La casa está vacía. Estoy vacío.,Дом пуст. Я пуст.
ch7_mother_4,Kenapa harus pergi secepat itu,ch7_mother_5,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,Why did you have to go so soon,なぜそんなに早く去ったんだ,,왜 그렇게 빨리 떠나야 했어,你为什么要这么早离开,Warum musstest du so früh gehen,ทำไมคุณต้องไปเร็วขนาดนี้,Bakit kailangan mong pumunta agad,Por que você teve que ir tão cedo?,Pourquoi as-tu dû partir si tôt ?,¿Por qué tuviste que irte tan pronto?,Почему тебе пришлось уйти так скоро?
ch7_mother_5,...,ch7_mother_6,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,...,…,,…,…,…,-,...,...,...,...,...
ch7_mother_6,Ibu...,ch7_mother_7,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,Mom…,母さん…,,엄마…,妈妈…,Mama…,แม่…,nanay…,Mãe…,Maman…,Mamá…,Мама…
ch7_mother_7,"Ibu tidak pernah benar-benar pergi, Ryan",ch7_mother_8,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Mother,"I never truly left, Ryan",俺は本当にいなくなったわけじゃない、ライアン,,"난 진짜 떠난 적 없어, 라이언",我从未真正离开过，Ryan,"Ich bin nie wirklich weg, Ryan",ฉันไม่เคยจากไปจริงๆ ไรอัน,"Hindi talaga ako umalis, Ryan","Eu nunca realmente saí, Ryan","Je ne suis jamais vraiment parti, Ryan","Nunca me fui realmente, Ryan","Я на самом деле никогда не уходил, Райан."
ch7_mother_8,"Ibu selalu ada... di hatimu, ",ch7_mother_9,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Mother,"I’m always here… in your heart,",母さんはまだここにいる…お前の心の中に,,"난 항상 여기 있어… 네 마음 속에,",我一直在这里… 在你心里，,"Ich bin immer hier… in deinem Herzen,",ฉันอยู่ตรงนี้เสมอ…ในหัวใจของคุณ,"Nandito ako palagi... sa puso mo,","Estou sempre aqui… no seu coração,","Je suis toujours là… dans ton cœur,","Siempre estoy aquí…en tu corazón,","Я всегда здесь... в твоём сердце,"
ch7_mother_9,di setiap langkahmu,ch7_mother_10,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Mother,in every step you take,一歩一歩、共にいる,,네가 내딛는 모든 걸음마다,在你迈出的每一步,"bei jedem Schritt, den du machst",ในทุกก้าวที่คุณก้าวไป,sa bawat hakbang mo,em cada passo que você dá,à chaque pas que vous faites,en cada paso que das,"на каждом шагу, который ты делаешь"
ch7_mother_10,Tapi itu tidak cukup!,ch7_mother_11,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,But that’s not enough!,でも、それだけじゃ足りない！,,하지만 그건 충분하지 않아!,但这还不够！,Aber das reicht nicht!,แต่แค่นั้นยังไม่พอ!,Ngunit hindi iyon sapat!,Mas isso não é suficiente!,Mais ce n’est pas suffisant !,¡Pero eso no es suficiente!,Но этого недостаточно!
ch7_mother_11,Kenapa tidak bisa nyata saja?,ch7_mother_12,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,Why can’t you be here in person?,どうして本当にそばにいてくれないんだ？,,왜 직접 여기 있을 수 없는 거야?,为什么你不能亲自来？,Warum kannst du nicht persönlich hier sein?,ทำไมคุณถึงไม่สามารถมาที่นี่ได้?,Bakit hindi ka pwede dito sa personal?,Por que você não pode estar aqui pessoalmente?,Pourquoi ne peux-tu pas être ici en personne ?,¿Por qué no puedes estar aquí en persona?,Почему вы не можете быть здесь лично?
ch7_mother_12,Kenapa bukan Ibu yang duduk bersamaku? ,ch7_mother_13,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,"Sitting with me,",今ここに座って、,,"내 곁에 앉아서,",坐在我身边，,"Bei mir sitzen,",นั่งอยู่กับฉัน,"Umupo sa tabi ko,","Sentado comigo,","Assis avec moi,","Sentado conmigo,","Сидя со мной,"
ch7_mother_13,Menenangkan aku saat semuanya terasa berat?,ch7_mother_14,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,comforting me when everything feels too heavy?,すべてが重すぎる時、慰めてくれたのは母さんじゃなかったのか？,,모든 게 너무 무거울 때 나를 위로해 주는…,在一切太沉重时安慰我？,"mich trösten, wenn alles zu schwer erscheint?",คอยปลอบใจฉันเมื่อทุกอย่างดูหนักเกินไป?,inaaliw ako kapag sobrang bigat ng lahat?,me confortando quando tudo parece muito pesado?,me réconforter quand tout me semble trop lourd ?,¿Consolarme cuando todo se siente demasiado pesado?,"утешаешь меня, когда все кажется слишком тяжелым?"
ch7_mother_14,"Ibu ingin, Nak... Ibu ingin lebih dari apapun",ch7_mother_15,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Mother,"I want to, Son… more than anything",したいよ、息子よ…何よりも,,"하고 싶어, 아들… 무엇보다도",我想啊，儿子… 比什么都想,"Ich will, Sohn… mehr als alles andere",ฉันอยากได้นะลูก…มากกว่าอะไรทั้งหมด,"Gusto ko, Anak... higit sa lahat","Eu quero, filho… mais do que tudo","Je le veux, mon fils… plus que tout","Quiero, hijo… más que nada","Я хочу, сынок... больше всего на свете."
ch7_mother_15,Tapi takdir berkata lain,ch7_mother_16,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Mother,But fate had other plans.,でも運命は別の道を示した,,하지만 운명이 달리 정했어,但命运另有安排,Aber das Schicksal entschied anders,แต่โชคชะตากลับมีแผนอื่น,Ngunit may ibang plano ang tadhana.,Mas o destino tinha outros planos.,Mais le destin avait d’autres plans.,Pero el destino tenía otros planes.,Но судьба распорядилась иначе.
ch7_mother_16,"Boleh aku ikut, Bu?",ch7_mother_17,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,"Can I come with you, Mom?",一緒に行ってもいいか、母さん？,,"엄마, 나랑 함께 가도 돼?",妈妈，我能跟你一起走吗？,"Kann ich mit dir kommen, Mama?",ฉันไปกับคุณได้ไหมแม่?,"Maaari ba akong sumama sa iyo, Inay?","Posso ir com você, mãe?","Puis-je venir avec toi, maman ?","¿Puedo ir contigo, mamá?","Можно мне пойти с тобой, мама?"
ch7_mother_17,"Belum waktunya, Sayang",ch7_mother_18,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Mother,"Not yet, darling.",まだ時じゃない、愛しい子よ,,"아직 때가 아니야, 사랑아",还不是时候，亲爱的,"Es ist noch nicht Zeit, Liebling",ยังไม่มีนะคะที่รัก,"Hindi pa, mahal.","Ainda não, querida.","Pas encore, chérie.","Todavía no, cariño.","Пока нет, дорогая."
ch7_mother_18,"Aku sudah tidak kuat, Bu. Aku lelah...",ch7_mother_19,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,"I can’t hold on anymore, Mom. I’m so tired…",もう耐えられない、母さん。疲れた…,,"난 더 이상 할 수 없어, 엄마. 지쳤어…",我再也做不到了，妈妈。我累了…,"Ich kann das nicht mehr, Mama. Ich bin müde…",ทนไม่ไหวแล้วแม่ เหนื่อยมาก...,"Hindi na ako makatagal, Mom. pagod na pagod ako…","Não aguento mais, mãe. Estou tão cansada...","Je n'en peux plus, maman. Je suis si fatiguée…","Ya no aguanto más, mamá. Estoy tan cansada…","Я больше не могу, мама. Я так устала…"
ch7_mother_19,Dunia ini masih memanggilmu,ch7_mother_20,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Mother,The world still needs you.,世界はまだお前を必要としている,,이 세상은 아직 너를 부르고 있어,这个世界还在呼唤你,Diese Welt ruft dich noch,โลกยังคงต้องการคุณ,Kailangan ka pa ng mundo.,O mundo ainda precisa de você.,Le monde a toujours besoin de toi.,El mundo todavía te necesita.,Мир все еще нуждается в вас.
ch7_mother_20,Masih ada yang harus kau hadapi. Masih ada cahaya di ujung gelapmu,ch7_mother_21,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Mother,There’s still something you have to face. There’s still light at the end of your darkness,まだ向き合うべきことがある。暗闇の先には光がある,,아직 맞서야 할 것이 있어. 네 어둠 끝에는 아직 빛이 있어,你还有要面对的事。你的黑暗尽头仍有光,Du musst noch etwas bewältigen. Am Ende deiner Dunkelheit gibt es noch Licht,ยังมีบางอย่างที่คุณต้องเผชิญ ยังคงมีแสงสว่างอยู่ที่ปลายความมืดของคุณ,May kailangan ka pang harapin. May liwanag pa sa dulo ng iyong kadiliman,Ainda há algo que você precisa enfrentar. Ainda há luz no fim da sua escuridão.,Il y a encore quelque chose à affronter. Il y a encore de la lumière au bout de tes ténèbres.,Aún hay algo que debes afrontar. Aún hay luz al final de tu oscuridad.,Тебе ещё есть с чем столкнуться. В конце твоей тьмы всё ещё есть свет.
ch7_mother_21,Pokoknya aku mau ikut!,ch7_mother_22,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,I just want to go with you!,ただ母さんと一緒に行きたい！,,그냥 엄마랑 가고 싶어!,我只想跟你一起走！,Ich will einfach mit dir gehen!,ฉันแค่อยากไปกับคุณ!,Gusto ko lang sumama sayo!,Eu só quero ir com você!,Je veux juste aller avec toi !,¡Solo quiero ir contigo!,Я просто хочу пойти с тобой!
ch7_mother_22,Menangislah jika harus menangis,ch7_mother_23,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Mother,Cry if you have to,泣いてもいい、必要なら,,울어도 돼,必须哭就哭,"Wein, wenn du musst",ร้องไห้ถ้าคุณต้อง,Umiyak ka kung kailangan mo,Chore se for preciso,Pleure si tu dois le faire,Llora si tienes que hacerlo,"Плачь, если нужно"
ch7_mother_23,Tapi jangan menyerah,ch7_mother_24,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Mother,But don’t give up,でも諦めるな,,하지만 포기하지 마,但不要放弃,Aber gib nicht auf,แต่ก็อย่ายอมแพ้,Ngunit huwag sumuko,Mas não desista,Mais n'abandonnez pas,Pero no te rindas,Но не сдавайся.
ch7_mother_24,Karena setiap luka yang kau bawa...,ch7_mother_25,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Mother,Because every wound you carry…,お前が背負うすべての傷は…,,왜냐하면 네가 가진 모든 상처가…,因为你承受的每一处伤口…,"Denn jede Wunde, die du trägst…",เพราะทุกบาดแผลที่คุณแบกไว้…,Dahil sa bawat sugat na dinadala mo...,Porque cada ferida que você carrega…,Parce que chaque blessure que tu portes…,Porque cada herida que llevas…,"Потому что каждая рана, которую ты носишь…"
ch7_mother_25,adalah bukti kau pernah mencintai dengan sungguh-sungguh,ch7_mother_26,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Mother,is proof that you’ve loved deeply,かつて深く愛した証,,네가 깊이 사랑했다는 증거이니까,都是你深爱的证明,"ist der Beweis, dass du tief geliebt hast",เป็นหลักฐานว่าคุณรักอย่างสุดซึ้ง,ay patunay na minahal mo ng lubusan,é a prova de que você amou profundamente,est la preuve que tu as aimé profondément,es prueba de que has amado profundamente,"является доказательством того, что вы глубоко любили"
ch7_mother_26,"Tolong jangan tinggalkan aku, Bu",ch7_mother_27,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,"Please don’t leave me, Mom",お願い…置いて行かないで、母さん,,"제발 나를 떠나지 마, 엄마",请不要离开我，妈妈,"Bitte verlass mich nicht, Mama",อย่าทิ้งฉันไปนะแม่,"Mangyaring huwag mo akong iwan, Inay","Por favor, não me deixe, mãe","S'il te plaît, ne me quitte pas, maman","Por favor no me dejes, mamá","Пожалуйста, не оставляй меня, мама."
ch7_mother_27,"Ibu tidak pernah meninggalkanmu, Nak",ch7_mother_28,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Mother,"I’ve never left you, Son",俺は本当にお前を置いていない、息子よ,,"난 절대 떠난 적 없어, 아들",我从未离开过你，儿子,"Ich habe dich nie verlassen, Sohn",ฉันไม่เคยทิ้งคุณเลยลูกชาย,"Hindi kita iniwan, Anak","Eu nunca te abandonei, filho","Je ne t’ai jamais quitté, fils","Nunca te he dejado, hijo","Я никогда тебя не покидал, сынок."
ch7_mother_28,Temukan kekuatanmu,ch7_mother_29,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Mother,Find your strength,力を取り戻すんだ,,네 힘을 찾아,找到你的力量,Finde deine Stärke,ค้นหาความแข็งแกร่งของคุณ,Hanapin ang iyong lakas,Encontre sua força,Trouvez votre force,Encuentra tu fuerza,Найди свою силу
ch7_mother_29,Karena suatu saat... kita akan bertemu lagi,ch7_mother_30,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Mother,Because one day… we’ll meet again,いつか…また会える,,언젠가… 우리는 다시 만날 거야,因为有一天… 我们会再次相见,Denn eines Tages… werden wir uns wiedersehen,เพราะวันหนึ่ง…เราจะได้พบกันอีกครั้ง,"Dahil balang araw, magkikita tayong muli",Porque um dia… nos encontraremos novamente,Parce qu’un jour… nous nous reverrons,Porque un día… nos volveremos a encontrar,Потому что однажды... мы встретимся снова.
ch7_mother_30,"dalam damai, bukan dalam duka",ch7_mother_27,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',True,Mother,"in peace, not in sorrow",平和の中で、悲しみではなく,,"평화롭게, 슬픔 속이 아닌",在平静中，而非悲伤里,"In Frieden, nicht in Trauer",สงบสุข ไม่โศกเศร้า,"sa kapayapaan, hindi sa kalungkutan","em paz, não em tristeza","en paix, pas dans la tristesse","en paz, no en tristeza","в мире, а не в печали"
ch7_caseoh,Yo...,ch7_caseoh2,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Customer,Yo…,ヨ…,,Yo…,Yo…,Yo…,โย่…,Yo…,Ei…,Eh…,Yo…,Йоу…
